t	y
1.580	7.520508
1.581	7.527306
1.582	7.534102
1.583	7.540894
1.584	7.547684
1.585	7.554471
1.586	7.561255
1.587	7.568036
1.588	7.574815
1.589	7.581591
1.590	7.588364
1.591	7.595134
1.592	7.601901
1.593	7.608666
1.594	7.615428
1.595	7.622187
1.596	7.628944
1.597	7.635697
1.598	7.642448
1.599	7.649196
1.600	7.655942
1.601	7.662685
1.602	7.669424
1.603	7.676162
1.604	7.682896
1.605	7.689628
1.606	7.696357
1.607	7.703083
1.608	7.709807
1.609	7.716528
1.610	7.723246
1.611	7.729961
1.612	7.736674
1.613	7.743384
1.614	7.750091
1.615	7.756796
1.616	7.763497
1.617	7.770197
1.618	7.776893
1.619	7.783587
1.620	7.790278
1.621	7.796966
1.622	7.803652
1.623	7.810335
1.624	7.817015
1.625	7.823693
1.626	7.830368
1.627	7.837040
1.628	7.843710
1.629	7.850377
1.630	7.857041
1.631	7.863703
1.632	7.870362
1.633	7.877018
1.634	7.883672
1.635	7.890323
1.636	7.896971
1.637	7.903617
1.638	7.910260
1.639	7.916900
1.640	7.923538
1.641	7.930173
1.642	7.936806
1.643	7.943435
1.644	7.950063
1.645	7.956687
1.646	7.963309
1.647	7.969929
1.648	7.976545
1.649	7.983160
1.650	7.989771
1.651	7.996380
1.652	8.002986
1.653	8.009590
1.654	8.016191
1.655	8.022790
1.656	8.029386
1.657	8.035979
1.658	8.042570
1.659	8.049158
1.660	8.055743
1.661	8.062326
1.662	8.068907
1.663	8.075484
1.664	8.082060
1.665	8.088632
1.666	8.095202
1.667	8.101770
1.668	8.108335
1.669	8.114897
1.670	8.121457
1.671	8.128014
1.672	8.134569
1.673	8.141121
1.674	8.147671
1.675	8.154218
1.676	8.160762
1.677	8.167304
1.678	8.173844
1.679	8.180381
1.680	8.186915
1.681	8.193447
1.682	8.199976
1.683	8.206503
1.684	8.213027
1.685	8.219549
1.686	8.226068
1.687	8.232585
1.688	8.239099
1.689	8.245611
1.690	8.252120
1.691	8.258626
1.692	8.265130
1.693	8.271632
1.694	8.278131
1.695	8.284628
1.696	8.291122
1.697	8.297614
1.698	8.304103
1.699	8.310589
1.700	8.317073
1.701	8.323555
1.702	8.330034
1.703	8.336511
1.704	8.342985
1.705	8.349457
1.706	8.355926
1.707	8.362393
1.708	8.368858
1.709	8.375320
1.710	8.381779
1.711	8.388236
1.712	8.394691
1.713	8.401143
1.714	8.407592
1.715	8.414039
1.716	8.420484
1.717	8.426926
1.718	8.433366
1.719	8.439804
1.720	8.446239
1.721	8.452671
1.722	8.459101
1.723	8.465529
1.724	8.471954
1.725	8.478377
1.726	8.484798
1.727	8.491216
1.728	8.497631
1.729	8.504044
1.730	8.510455
1.731	8.516863
1.732	8.523269
1.733	8.529673
1.734	8.536074
1.735	8.542473
1.736	8.548869
1.737	8.555263
1.738	8.561655
1.739	8.568044
1.740	8.574430
1.741	8.580815
1.742	8.587197
1.743	8.593576
1.744	8.599954
1.745	8.606329
1.746	8.612701
1.747	8.619071
1.748	8.625439
1.749	8.631804
1.750	8.638167
1.751	8.644528
1.752	8.650886
1.753	8.657242
1.754	8.663596
1.755	8.669947
1.756	8.676296
1.757	8.682642
1.758	8.688987
1.759	8.695328
1.760	8.701668
1.761	8.708005
1.762	8.714340
1.763	8.720672
1.764	8.727003
1.765	8.733330
1.766	8.739656
1.767	8.745979
1.768	8.752300
1.769	8.758618
1.770	8.764935
1.771	8.771249
1.772	8.777560
1.773	8.783869
1.774	8.790176
1.775	8.796481
1.776	8.802783
1.777	8.809084
1.778	8.815381
1.779	8.821677
1.780	8.827970
1.781	8.834261
1.782	8.840549
1.783	8.846836
1.784	8.853120
1.785	8.859401
1.786	8.865681
1.787	8.871958
1.788	8.878233
1.789	8.884506
1.790	8.890776
1.791	8.897044
1.792	8.903310
1.793	8.909573
1.794	8.915835
1.795	8.922094
1.796	8.928351
1.797	8.934605
1.798	8.940857
1.799	8.947107
1.800	8.953355
1.801	8.959601
1.802	8.965844
1.803	8.972085
1.804	8.978324
1.805	8.984560
1.806	8.990795
1.807	8.997027
1.808	9.003257
1.809	9.009484
1.810	9.015710
1.811	9.021933
1.812	9.028154
1.813	9.034373
1.814	9.040589
1.815	9.046803
1.816	9.053015
1.817	9.059225
1.818	9.065433
1.819	9.071638
1.820	9.077842
1.821	9.084043
1.822	9.090242
1.823	9.096438
1.824	9.102633
1.825	9.108825
1.826	9.115015
1.827	9.121203
1.828	9.127389
